id,name,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,loudness,tempo
6otiaV2fagE3s8IvP6WkwG,I'm Just A Kid,69,0.00107,0.527,0.834,0.000102,0.0993,0.0447,0.422,-5.531,110.065
7zsXy7vlHdItvUSH8EwQss,Cold Water,71,0.055,0.602,0.797,0.0,0.187,0.0534,0.492,-5.084,92.928
5ytc87gcx6dZ4nWRNykinV,Night Train,66,0.0512,0.496,0.708,1.06e-06,0.182,0.0293,0.502,-5.175,158.121
75ZvA4QfFiZvzhj2xkaWAh,I Fall Apart,87,0.0689,0.556,0.538,0.0,0.196,0.0382,0.291,-5.408,143.95
2RChe0r2cMoyOvuKobZy44,Always,74,0.117,0.383,0.659,0.0,0.0778,0.0312,0.327,-5.558,140.795
6bUNEbXT7HovLW6BgPCBsb,Roses,72,0.0481,0.751,0.708,1.83e-05,0.107,0.0545,0.509,-5.645,108.97
4bPQs0PHn4xbipzdPfn6du,I Write Sins Not Tragedies,77,0.0938,0.567,0.795,0.0,0.114,0.134,0.635,-4.985,170.06
3EMGSmvENxRcCByWWL34XH,2 On,39,0.125,0.738,0.597,0.0,0.25,0.114,0.425,-7.634,100.947
1FY8gDAydm8CfGYp7Lv9ce,Worst In Me,66,0.105,0.648,0.616,0.0,0.161,0.0606,0.275,-7.82,105.985
48UPSzbZjgc449aqz8bxox,Californication,81,0.0021,0.592,0.767,0.00165,0.127,0.027,0.328,-2.788,96.483
5HQVUIKwCEXpe7JIHyY734,"Young, Wild & Free (feat. Bruno Mars)",77,0.0525,0.715,0.655,0.0,0.115,0.137,0.531,-6.425,95.078
1dFkD1JfRMzwO6hwUsE8aS,Spectrum,63,0.0137,0.609,0.801,0.00349,0.127,0.034,0.407,-4.417,129.99
2heBToLEB7odACQ3xwb32A,Scarecrow In The Garden,62,0.132,0.634,0.526,0.000951,0.148,0.0291,0.667,-10.849,121.592
2j5hsQvApottzvTn4pFJWF,What Lovers Do (feat. SZA),77,0.0788,0.799,0.597,5.66e-06,0.1,0.0611,0.419,-5.131,110.001
0gmbgwZ8iqyMPmXefof8Yf,How You Remind Me - LP Mix,78,0.00135,0.446,0.764,0.0,0.099,0.033,0.543,-5.042,172.094
516tNdpLmwWM8RAq8wYayP,Dirt Road Dollars,60,0.0131,0.594,0.686,0.0,0.206,0.0606,0.444,-4.436,174.345
3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",80,0.386,0.602,0.522,1.44e-05,0.0941,0.0285,0.36,-9.031,136.637
3s4U7OHV7gnj42VV72eSZ6,Rather Be (feat. Jess Glynne),73,0.162,0.799,0.586,2.03e-06,0.193,0.0377,0.549,-6.735,120.97
2sPK3NAhY4WP5Jdvrr90SR,I’m All In,49,0.0464,0.58,0.56,1.67e-05,0.109,0.0232,0.203,-5.322,89.983
1CKtxKqyFsFITCH4SpDrWj,You Make Me,69,0.00219,0.582,0.738,0.0083,0.149,0.0408,0.525,-4.82,125.008
7Gkphzdh5ouurEt7JT49Yu,Come & Get It,56,0.00905,0.548,0.788,0.000167,0.0966,0.0495,0.576,-4.115,80.047
6WAxKNbZoGNzQTIvdMqkFs,Sex With Me,64,0.326,0.619,0.539,0.0,0.106,0.0409,0.39,-5.688,112.006
0Nf3vtVBfiayZL7c8r4KBO,Gas Pedal,54,0.0275,0.844,0.529,0.0,0.118,0.076,0.491,-7.976,97.516
2f0P7iELCvAlV8j6Z3rGDE,Stranglehold,66,0.0183,0.484,0.711,0.173,0.0941,0.0331,0.49,-7.784,148.189
4EAV2cKiqKP5UPZmY6dejk,Everyday,83,0.041,0.67,0.752,0.0,0.0749,0.0374,0.442,-4.146,149.961
5aOpzm8W8zysk4asB9hxJw,Say It (feat. Tove Lo),66,0.0668,0.598,0.532,3.22e-06,0.0617,0.0295,0.261,-6.833,74.963
