id,name,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,loudness,tempo,Assignments
1wlKw9NAWVWpx7OIAyg9EA,Fell On Black Days,66,0.00165,0.573,0.75,0.000285,0.131,0.0272,0.544,0.695837226201599,0.26330713764887,7
1VnQfAPIHwFImjfO9gnyUt,Leave the Pieces,47,0.0255,0.514,0.679,0,0.0594,0.0273,0.496,0.654417107858403,0.901928218423398,1
6EGAfJaLUFzhS4zRBIEQ2J,You Make It Easy,69,0.143,0.375,0.574,0,0.11,0.0315,0.406,0.73871068203052,0.577007210564693,5
3N5oiETJEStSB71TjTFkWV,Bounce It,60,0.00811000000000001,0.785,0.572,0,0.111,0.0859,0.477,0.315374234402575,0.658095681762943,5
5xvagygk66wKzm6ecuUp14,Never Sleep Alone (feat. Tess Comrie),59,0.185,0.621,0.831,0.000925,0.102,0.038,0.527,0.895671130488944,0.515443976342866,7
6IFwG4pnVPcpwX4kXFUbsV,Influence,54,0.0993,0.768,0.593,0.000184,0.105,0.0463,0.329,0.288383681096232,0.30285384428421,5
2zFF6jG5hQArbzcXz3KUWk,Cool for the Summer,73,0.00506,0.584,0.614,9.69999999999999E-05,0.0802,0.0363,0.28,0.709436312675179,0.395224013610954,5
2f0P7iELCvAlV8j6Z3rGDE,Stranglehold,66,0.0183,0.484,0.711,0.173,0.0941,0.0331,0.49,0.481366137236583,0.740703232601474,1
2VN7uPrbryJ7nE2MXX3f9a,Burning Heart,58,0.298,0.652,0.609,8.78999999999984E-06,0.0573,0.028,0.646,0.284127478459462,0.233695211860974,2
6bUNEbXT7HovLW6BgPCBsb,Roses,72,0.0481,0.751,0.708,1.83000000000002E-05,0.107,0.0545,0.509,0.703415343091456,0.343524669853358,7
0ME4uQYTQmovH1v9PbWqW2,Lead Me On,70,0.106,0.464,0.688,0,0.146,0.0301,0.411,0.816775666978096,1,1
4QeoDcR16IHpmmgFGQDrCp,No Vacancy,68,0.0556,0.72,0.727,0,0.138,0.0489,0.481,0.886432056472542,0.252622944178887,7
2RWFncSWZEhSRRifqiDNVV,Run To You,64,0.00515,0.561,0.811,3.6E-05,0.287,0.0265,0.635,0.650264715042043,0.521996273191283,7
1cOyWWUr3oXJIxY0AjJEx9,YOUTH,67,0.0625,0.628,0.737,0,0.0777,0.041,0.592,0.828817606145541,0.166673418131735,7
1CLUtToY6V0jn79UPtf5VA,The One You Know,52,0.000222,0.557,0.772,0.0192,0.196,0.0325,0.567,0.771514585279767,0.0251559588430689,7
3ezkJgagRPZ39KCTrKcSI7,Ghosts 'n' Stuff,60,4.73000000000001E-05,0.611,0.613,0.105,0.159,0.129,0.491,0.56877400602097,0.536032569067488,5
